Pos,ID,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,Elite%
F,57345,Chris Wood,6.5,6.5,FOR,82,78,75,75,74,75,0,0,0,0,0,0,3.864271100269936,3.793725230276792,3.8910237730094623,2.8801451648238388,3.1467290604919627,3.7372754321094046,0,0,0,0,0,0,0
D,176641,Ben White,6.5,6.5,ARS,85,83,81,79,78,77,0,0,0,0,0,0,4.457644645543224,3.197531338659036,3.952352158640504,2.883329161866246,2.307725750832218,4.320815261488323,0,0,0,0,0,0,0
G,192988,Robert SAnchez,5.0,5.0,CHE,76,75,75,72,71,69,0,0,0,0,0,0,3.3529141232164044,3.665260843006101,3.676145224,3.4164468559657832,3.3634747668327885,3.5142285191263745,0,0,0,0,0,0,0
M,45081,Bernardo Silva,6.5,6.5,MCI,77,75,76,75,74,74,0,0,0,0,0,0,3.184556206,4.336220415804243,3.593895134,3.881175625667373,2.783384070606862,3.17144253,0,0,0,0,0,0,0
M,23194,Marcus Rashford,7.5,7.5,MUN,71,66,66,64,66,64,0,0,0,0,0,0,4.035859848672083,3.2274735164605963,3.105155772,3.6643807638810606,3.2428320199119267,3.490068612546666,0,0,0,0,0,0,0
F,3556539,Rodrigo Muniz,6.5,6.5,FUL,70,69,66,64,63,62,0,0,0,0,0,0,3.416152283286876,3.914963273797307,3.534333445224044,3.644271816,3.2489929188114925,2.9055086251926774,0,0,0,0,0,0,0
D,3634364,JoAko Gvardiol,6.0,6.0,MCI,75,72,70,71,69,67,0,0,0,0,0,0,2.8633708484046907,4.627037995,3.464106876421902,3.987424502956476,2.7665535362928235,2.735617929453148,0,0,0,0,0,0,0
F,201968,Jean-Philippe Mateta,7.5,7.5,CRY,37,57,73,71,74,72,0,0,0,0,0,0,1.5448108894560846,3.4914422406858456,3.4403614875729627,4.250391971,4.202570995,3.491975296474712,0,0,0,0,0,0,0
D,2930177,Pedro Porro,5.5,5.5,TOT,90,85,83,81,81,82,0,0,0,0,0,0,4.204263149545733,4.035740962569227,2.6807277590610648,2.244330229648353,3.921945649650607,3.239579470239049,0,0,0,0,0,0,0
M,257178,Hwang Hee-chan,6.5,6.5,WOL,77,74,72,71,71,71,0,0,0,0,0,0,2.6705621495745886,3.742415557384608,3.498446222505096,3.7294675775670494,3.4701798928420216,3.2141822859737093,0,0,0,0,0,0,0
M,3649502,Kudus Mohammed,7.0,7.0,WHU,88,81,80,79,77,76,0,0,0,0,0,0,4.014961011083645,3.348624814377259,2.7351122893311084,3.4768202689436225,3.3724184164431903,3.3146850658455342,0,0,0,0,0,0,0
M,240547,Leon Bailey,7.0,7.0,AVL,75,71,70,68,66,64,0,0,0,0,0,0,3.655280406323263,2.461866137431731,3.5426789601158126,3.4392772919410786,3.6862218720342232,3.4333653972665243,0,0,0,0,0,0,0
M,242909,Andreas Pereira,6.0,6.0,FUL,71,70,70,70,69,67,0,0,0,0,0,0,3.165856579189577,3.7075513224851737,3.518299288350861,3.695729195171508,3.166989928279474,2.864151997736683,0,0,0,0,0,0,0
M,69539,Callum Hudson-Odoi,5.5,5.5,FOR,78,73,73,71,69,68,0,0,0,0,0,0,3.666439544988453,3.567718308585952,3.780421249175391,2.669125737,2.9469098725711915,3.403290445864205,0,0,0,0,0,0,0
M,140008,Martinelli,7.5,7.5,ARS,56,56,55,54,53,53,0,0,0,0,0,0,3.9711454145881535,3.1433802154513475,3.5240286608248867,2.961144813196177,2.288695003387532,3.855599155,0,0,0,0,0,0,0
M,23492,Abdoulaye DoucourA,6.0,6.0,EVE,81,78,76,74,74,75,0,0,0,0,0,0,3.4846379919129697,3.0416325841090885,3.3948009227278737,3.0126627087304856,3.3756528817480755,3.341293360506939,0,0,0,0,0,0,0
D,45120,Andrew Robertson,6.0,6.0,LIV,45,67,76,73,73,73,0,0,0,0,0,0,2.002276511637054,3.564979672271128,3.147611069033051,3.747181402688057,3.6773352880525234,3.4577828835586626,0,0,0,0,0,0,0
