ID,Name,Team,Pos,Value,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,total_pts
3634426.0,Matheus França,CRY,M,5.0,20,0.6782448670143191,19,0.778033233109639,18,0.5423676996396155,18,0.7596196896360878,19,0.7338011693000475,20,0.657229955406726,4.149296614106436
23148.0,Oleksandr Zinchenko,ARS,D,5.5,18,0.7947424333821246,19,0.6120652204752937,19,0.7533997604144463,20,0.6042475118349185,20,0.45933616115385256,20,0.9151489961345627,4.138940083395198
137292.0,James Justin,LEI,D,4.5,38,0.6491590412723076,40,0.7830948290749686,37,0.7253035269522028,39,0.7140850647736855,39,0.9486316603402039,40,0.24728136914654614,4.067555491559915
139802.0,Mason Mount,MUN,M,6.0,15,0.5566283941265936,20,0.604016779314133,21,0.5823956914873829,23,0.8629276115162586,22,0.6802540826226826,23,0.7804864838092805,4.066709042876331
3879560.0,Marcus Harness,IPS,M,4.5,15,0.3908641540501895,20,0.3853064863690965,22,0.7979220745808796,25,0.7159234849958672,25,0.8782324829989029,25,0.8677142699357169,4.035962952930652
2139824.0,Matheus Nunes,MCI,M,5.0,19,0.5305788294035644,21,0.8470825636911761,20,0.6523956088068705,21,0.7440936629086727,23,0.5557498191092674,24,0.6950583376866223,4.024958821606173
3744084.0,Conor Bradley,LIV,D,5.5,12,0.4484851709357421,17,0.6101959886331512,21,0.6082817139444004,23,0.8057776181439404,22,0.7571960198159419,24,0.7836058864385789,4.013542397911754
45053.0,Victor Lindelöf,MUN,D,4.5,27,0.6843897491851384,30,0.5746806622965953,33,0.4264491770305885,33,0.8503860329076871,35,0.725170125054484,37,0.6833096409748849,3.944385387449378
3638606.0,Max Aarons,BOU,D,4.0,27,0.5806245773984002,30,0.5882819471818809,32,0.7233225115822146,31,0.5770358794108821,31,0.33097181056277475,35,1.1015902086866503,3.901826934822803
185167.0,Nélson Semedo,WOL,D,4.5,0,0.0,0,0.0,0,0.0,81,1.4695357344067124,80,1.3807134497935367,79,1.0361033810384823,3.8863525652387314
