Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
G,185.0,Robert Sánchez,5.0,5.0,Chelsea,76,3.3529141232164044,75,3.665260843006101,75,3.67614522412309,72,3.4164468559657832,71,3.3634747668327885,69,3.5142285191263745,0,0,0,0,0,0,0,0,0,0,0,0
M,342.0,Bernardo Silva,6.5,6.5,Man City,77,3.1845562063182,75,4.336220415804243,76,3.59389513403494,75,3.881175625667373,74,2.783384070606862,74,3.17144253003819,0,0,0,0,0,0,0,0,0,0,0,0
M,385.0,Marcus Rashford,7.5,7.5,Man Utd,71,4.035859848672083,66,3.2274735164605963,66,3.10515577180502,64,3.6643807638810606,66,3.2428320199119267,64,3.490068612546666,0,0,0,0,0,0,0,0,0,0,0,0
F,251.0,Rodrigo Muniz,6.5,6.5,Fulham,70,3.416152283286876,69,3.914963273797307,66,3.534333445224044,64,3.64427181567885,63,3.2489929188114925,62,2.9055086251926774,0,0,0,0,0,0,0,0,0,0,0,0
D,350.0,Joško Gvardiol,6.0,6.0,Man City,75,2.8633708484046907,72,4.62703799480501,70,3.464106876421902,71,3.987424502956476,69,2.7665535362928235,67,2.735617929453148,0,0,0,0,0,0,0,0,0,0,0,0
F,207.0,Jean-Philippe Mateta,7.5,7.5,Crystal Palace,37,1.5448108894560846,57,3.4914422406858456,73,3.4403614875729627,71,4.250391971423,74,4.20257099495574,72,3.491975296474712,0,0,0,0,0,0,0,0,0,0,0,0
D,495.0,Pedro Porro,5.5,5.5,Spurs,90,4.204263149545733,85,4.035740962569227,83,2.6807277590610648,81,2.244330229648353,81,3.921945649650607,82,3.239579470239049,0,0,0,0,0,0,0,0,0,0,0,0
M,550.0,Hwang Hee-chan,6.5,6.5,Wolves,77,2.6705621495745886,74,3.742415557384608,72,3.498446222505096,71,3.7294675775670494,71,3.4701798928420216,71,3.2141822859737093,0,0,0,0,0,0,0,0,0,0,0,0
M,525.0,Kudus Mohammed,7.0,7.0,West Ham,88,4.014961011083645,81,3.348624814377259,80,2.7351122893311084,79,3.4768202689436225,77,3.3724184164431903,76,3.3146850658455342,0,0,0,0,0,0,0,0,0,0,0,0
M,28.0,Leon Bailey,7.0,7.0,Aston Villa,75,3.655280406323263,71,2.461866137431731,70,3.5426789601158126,68,3.4392772919410786,66,3.6862218720342232,64,3.4333653972665243,0,0,0,0,0,0,0,0,0,0,0,0
